vivo   ,Y55     ,
vivo   ,Y55L    ,
vivo   ,Y55s    ,
vivo   ,Y66     ,
vivo   ,Y65     ,
vivo   ,V5      ,
vivo   ,V5s     ,
vivo   ,Y69     ,
vivo   ,V7+     ,
vivo   ,V5Plus  ,
OPPO   ,A57     ,
OPPO   ,A71     ,
OPPO   ,F5      ,
OPPO   ,F1S     ,
OPPO   ,F3      ,
OPPO   ,F3 Plus ,
SUMSUNG,J5 Prime,
SUMSUNG,On8     ,
SUMSUNG,J7 MAX  ,
SUMSUNG,J7 Prime,
SUMSUNG,A5      ,
SUMSUNG,J7 Pro  ,
SUMSUNG,A7      ,
SUMSUNG,A9 Pro  ,
SUMSUNG,C7 PRO  ,
xiaomi ,Redmi 4 ,
xiaomi ,MI 4i   ,
xiaomi ,MI 4i   ,
xiaomi ,MI MIX2 ,
Lenovo ,K6 POWER,
Lenovo ,K6 Note ,
Lenovo ,K8 NOTE ,
Lenovo ,Z2 PLUS ,
Lenovo ,K5      ,


